Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
PRKD3,6,-0.10864,-2.2057,0.44644,0.93918,0.027402,0.045186,-0.070535,-1.2886,0.53055,0.94701,0.19755,0.27267,0.23022,4.8285,0.39234,0.90152,1.38E-06,5.13E-06,0.18318,3.7841,0.4341,0.92147,0.00015429,0.00047479
GJC1,6,-0.10862,-2.1478,0.44657,0.93918,0.031726,0.051465,0.14604,2.7098,0.61861,0.96358,0.0067331,0.014624,-0.12765,-2.4705,0.38373,0.89851,0.013493,0.02388,0.038905,0.76601,0.98804,0.99796,0.44367,0.52673
RAPGEF3,6,-0.10857,-2.204,0.44671,0.93918,0.027525,0.045355,-0.072111,-1.3348,0.52519,0.94701,0.18194,0.25426,-0.017082,-0.34589,0.72977,0.97472,0.72943,0.78095,-0.1132,-2.2393,0.41467,0.91654,0.025133,0.045137
DHH,6,-0.10846,-2.1269,0.44689,0.93918,0.033427,0.053876,-0.025324,-0.45257,0.6859,0.96962,0.65086,0.72264,0.12685,2.5333,0.71799,0.97257,0.011299,0.020305,-0.047149,-0.90849,0.63397,0.95586,0.36362,0.44719
CHCHD6,6,-0.10841,-2.2287,0.44694,0.93918,0.025836,0.042788,-0.0099989,-0.19248,0.74637,0.97608,0.84737,0.88531,-0.12882,-2.6083,0.38121,0.89777,0.0090996,0.016688,-0.096129,-1.9389,0.46624,0.92978,0.052515,0.085718
TMEM61,6,-0.1084,-2.2366,0.44699,0.93918,0.025315,0.041996,0.14854,2.9004,0.60949,0.96155,0.0037266,0.0087079,0.3657,7.8899,0.13972,0.77538,3.02E-15,3.85E-14,0.095502,1.9784,0.76415,0.97005,0.047879,0.079092
AMZ1,6,-0.10833,-2.2475,0.44717,0.93918,0.024607,0.040955,-0.00062508,-0.011987,0.7813,0.98053,0.99044,0.99376,-0.069916,-1.3542,0.55003,0.94233,0.17568,0.23264,0.041934,0.86718,0.99826,0.99936,0.38584,0.46958
ZMPSTE24,6,-0.10823,-2.1921,0.4474,0.93918,0.028372,0.046613,0.12083,2.3057,0.71524,0.97236,0.021128,0.039964,0.13447,2.7727,0.69026,0.96787,0.0055591,0.01068,-0.024341,-0.48662,0.72271,0.96434,0.62653,0.69506
PRAMEF17,4,-0.10819,-1.7454,0.44749,0.93918,0.080922,0.11789,-0.054187,-0.79997,0.58033,0.95694,0.42373,0.51376,-0.057493,-0.91968,0.58937,0.94879,0.35774,0.43052,-0.1627,-2.5371,0.28939,0.87312,0.011177,0.022059
PLA2R1,6,-0.10818,-2.2944,0.44749,0.93918,0.021765,0.036704,0.013558,0.26837,0.83933,0.98687,0.78841,0.83874,-0.0030313,-0.064254,0.78185,0.97974,0.94877,0.96048,-0.12667,-2.6213,0.37745,0.90555,0.0087603,0.017807
CTBS,6,-0.10815,-2.2216,0.44749,0.93918,0.026313,0.043509,0.12314,2.3831,0.7074,0.97173,0.017166,0.033304,0.21191,4.4733,0.44121,0.9171,7.70E-06,2.53E-05,0.18218,3.8009,0.43782,0.92156,0.00014418,0.00044601
ACTR3B,5,-0.10813,-2.0286,0.44749,0.93918,0.042503,0.066739,-0.080591,-1.3896,0.49796,0.94403,0.16464,0.23369,-0.12497,-2.3072,0.39037,0.9007,0.021041,0.035671,0.04219,0.78918,0.99697,0.99931,0.43,0.51327
LRRC73,6,-0.10813,-2.2757,0.44749,0.93918,0.022863,0.038357,-0.16151,-2.7097,0.28801,0.87641,0.0067341,0.014624,-0.21729,-4.4395,0.20752,0.8279,9.02E-06,2.93E-05,-0.16353,-3.3358,0.28788,0.8721,0.00085069,0.0022132
FECH,6,-0.10803,-2.042,0.44772,0.93918,0.041147,0.064867,-0.47762,-7.1649,0.032409,0.62153,7.79E-13,1.24E-11,0.30975,6.1698,0.2187,0.83276,6.84E-10,4.24E-09,0.01253,0.23448,0.87747,0.98771,0.81461,0.8556
INHBB,6,-0.10803,-2.2447,0.44772,0.93918,0.024787,0.041239,0.22195,4.4208,0.36745,0.90569,9.83E-06,4.22E-05,-0.42574,-8.2682,0.045061,0.65135,1.36E-16,2.06E-15,-0.4777,-9.0772,0.028925,0.59095,1.11E-19,4.46E-18
MGAT3,6,-0.10796,-2.0165,0.4479,0.93918,0.043744,0.068489,-0.069801,-1.1604,0.53229,0.94701,0.24589,0.32703,0.44458,8.9192,0.073619,0.69943,4.70E-19,9.48E-18,0.31737,6.1848,0.13436,0.75379,6.22E-10,5.52E-09
PRSS27,6,-0.10793,-2.0127,0.4479,0.93918,0.044143,0.069036,0.24285,4.2913,0.3118,0.88613,1.78E-05,7.20E-05,-0.18358,-3.297,0.2634,0.85398,0.00097729,0.0021926,0.038628,0.71644,0.9868,0.99768,0.47372,0.55524
KLF4,6,-0.10791,-1.8555,0.44799,0.93918,0.063532,0.09515,-0.058789,-0.9363,0.56567,0.9529,0.34912,0.43843,-0.22159,-3.7509,0.20069,0.82358,0.0001762,0.0004556,-0.38313,-6.2315,0.051937,0.61778,4.62E-10,4.21E-09
CELF3,6,-0.10778,-1.7947,0.44822,0.93918,0.072709,0.10735,-0.010299,-0.14993,0.74499,0.97595,0.88082,0.91183,0.14002,2.4063,0.67018,0.96661,0.016115,0.028041,-0.16983,-2.6671,0.27353,0.86104,0.0076512,0.015784
HOXD10,6,-0.10778,-2.1269,0.44822,0.93918,0.033426,0.053876,0.059578,1.0808,0.97057,0.99671,0.27979,0.36468,-0.19234,-3.6678,0.24731,0.84284,0.00024468,0.00061474,-0.30252,-5.5747,0.094568,0.69275,2.48E-08,1.64E-07
TMEM165,6,-0.10775,-2.1267,0.44836,0.93918,0.033445,0.0539,-0.22928,-3.9989,0.17901,0.82419,6.36E-05,0.00022751,-0.1605,-3.095,0.3074,0.87049,0.0019684,0.0041517,-0.15689,-2.9973,0.30254,0.88042,0.0027239,0.0063053
FGF22,6,-0.10771,-2.2008,0.44854,0.93918,0.027748,0.045695,-0.20441,-3.7331,0.21261,0.84171,0.00018913,0.0006098,-0.25538,-5.0332,0.15517,0.78429,4.82E-07,1.94E-06,-0.16175,-3.2017,0.29218,0.87588,0.0013663,0.0033916
STAU1,6,-0.10771,-2.1488,0.44854,0.93918,0.031652,0.051353,0.33983,6.6072,0.13321,0.79053,3.92E-11,4.70E-10,-0.035076,-0.69581,0.66706,0.96622,0.48655,0.55922,-0.13102,-2.5332,0.3664,0.90399,0.011302,0.022282
PTDSS1,6,-0.1077,-2.1573,0.44854,0.93918,0.030983,0.050426,0.044117,0.81241,0.96525,0.99617,0.41656,0.50647,-0.060482,-1.1992,0.57978,0.94824,0.23043,0.2948,-0.012381,-0.24482,0.77364,0.97173,0.80659,0.84938
AMBN,6,-0.10769,-2.0899,0.44859,0.93918,0.036627,0.058454,0.029305,0.51688,0.90264,0.99108,0.60524,0.68249,-0.082477,-1.5763,0.51061,0.93393,0.11495,0.16034,0.030354,0.58529,0.95091,0.99492,0.55835,0.63403
DNAJC8,6,-0.10759,-1.9044,0.44882,0.93918,0.056865,0.086386,-0.33115,-4.7941,0.085033,0.72784,1.63E-06,8.22E-06,-0.074145,-1.2919,0.53559,0.93862,0.19639,0.25642,-0.38039,-6.0941,0.052991,0.62312,1.10E-09,9.36E-09
SAP30BP,6,-0.10758,-1.8653,0.44882,0.93918,0.06214,0.093296,-0.15266,-2.4992,0.30539,0.8817,0.012447,0.025116,-0.064603,-1.1825,0.56727,0.94729,0.237,0.30196,-0.17513,-3.1118,0.26239,0.85245,0.0018597,0.0044728
LCMT2,6,-0.10757,-1.8562,0.44882,0.93918,0.063427,0.095038,0.22376,3.6836,0.36282,0.90519,0.00023,0.00072789,0.005963,0.10295,0.8154,0.98263,0.918,0.93663,-0.064651,-1.0919,0.57098,0.94631,0.27486,0.35397
C17orf62,6,-0.10751,-2.1171,0.44891,0.93918,0.034252,0.055088,-0.074144,-1.3192,0.51905,0.94701,0.18712,0.26054,0.28821,5.904,0.25872,0.85143,3.55E-09,1.98E-08,0.15429,3.0774,0.53028,0.93873,0.0020883,0.004969
NPAT,6,-0.10749,-1.94,0.44891,0.93918,0.052383,0.080367,0.039217,0.66977,0.9433,0.99489,0.503,0.58919,-0.39404,-6.8358,0.055604,0.6696,8.15E-12,6.65E-11,-0.40636,-6.9261,0.043823,0.60388,4.33E-12,5.54E-11
P2RY4,6,-0.10746,-2.2649,0.449,0.93918,0.02352,0.039326,-0.19997,-3.7543,0.21774,0.84267,0.00017386,0.00056515,0.059066,1.2538,0.97667,0.99781,0.20991,0.27179,-0.062777,-1.3003,0.57818,0.94666,0.19352,0.26403
AKAP11,6,-0.1074,-2.1593,0.44919,0.93918,0.030829,0.050197,0.14375,2.71,0.62686,0.96463,0.0067286,0.014617,-0.053629,-1.0685,0.60183,0.95341,0.28531,0.35469,-0.099616,-1.9475,0.45336,0.92349,0.051477,0.084206
SLC39A13,6,-0.10737,-2.1057,0.44919,0.93918,0.035226,0.056459,0.085226,1.55,0.86326,0.98913,0.12113,0.1798,-0.28418,-4.9129,0.12409,0.7553,8.97E-07,3.45E-06,-0.16053,-3.0278,0.29438,0.876,0.0024637,0.0057704
GEMIN8,6,-0.10732,-2.0843,0.44923,0.93918,0.037131,0.059211,-0.1216,-2.0759,0.38098,0.91187,0.037905,0.066348,0.24172,4.8806,0.36204,0.8881,1.06E-06,4.01E-06,-0.030654,-0.58501,0.69833,0.96175,0.55854,0.63418
RRN3,6,-0.1072,-1.7563,0.44955,0.93918,0.079033,0.11554,-0.11044,-1.5073,0.41132,0.92291,0.13172,0.19342,-0.05717,-0.9219,0.59033,0.94978,0.35658,0.42937,0.13865,2.3142,0.58813,0.94877,0.020657,0.037967
DDX59,6,-0.10719,-1.7591,0.44955,0.93918,0.078556,0.11491,-0.19027,-2.6177,0.23452,0.84422,0.0088516,0.018633,0.15617,2.6509,0.61563,0.9584,0.0080288,0.014899,0.18444,3.1064,0.43048,0.9203,0.001894,0.0045479
EGF,6,-0.10718,-2.1594,0.44955,0.93918,0.030821,0.050187,0.086296,1.6138,0.85913,0.98857,0.10658,0.16166,0.012122,0.24459,0.83832,0.98294,0.80678,0.84624,-0.19737,-3.8013,0.22242,0.82869,0.00014392,0.00044526
CLCC1,6,-0.10711,-1.848,0.44983,0.93918,0.064597,0.096579,0.15901,2.5397,0.57062,0.95475,0.011093,0.022729,0.061674,1.0771,0.96603,0.99556,0.28144,0.35039,-0.066709,-1.1183,0.56388,0.94579,0.26342,0.34133
NUP160,6,-0.10707,-2.1733,0.44992,0.93918,0.029759,0.048629,0.086347,1.6322,0.85895,0.9885,0.10264,0.15642,-0.33189,-6.3725,0.086317,0.71851,1.86E-10,1.26E-09,-0.41527,-7.751,0.041852,0.60339,9.12E-15,1.77E-13
HBE1,6,-0.10703,-2.2116,0.45006,0.93918,0.026996,0.044554,-0.18249,-3.3504,0.24653,0.8457,0.000807,0.0022256,-0.23176,-4.6238,0.18551,0.80714,3.77E-06,1.30E-05,-0.02761,-0.56281,0.71084,0.9625,0.57356,0.64716
EGFR,6,-0.10699,-2.1826,0.45024,0.93918,0.029065,0.047605,-0.19679,-3.5588,0.2231,0.84325,0.00037253,0.0011171,-0.3525,-6.8049,0.075499,0.70367,1.01E-11,8.14E-11,-0.063805,-1.2771,0.57415,0.94641,0.20157,0.27304
GREM2,6,-0.10699,-2.1844,0.45024,0.93918,0.028931,0.047411,-0.044521,-0.83379,0.61412,0.96264,0.4044,0.49459,0.11562,2.3954,0.76067,0.97974,0.016601,0.028795,0.10282,2.109,0.73321,0.96508,0.03494,0.060236
OR5B21,6,-0.10697,-2.1957,0.45042,0.93918,0.028111,0.046229,0.29995,5.9689,0.19395,0.83809,2.39E-09,2.08E-08,0.085355,1.7722,0.87421,0.98604,0.076364,0.11198,0.24657,5.1844,0.25849,0.85066,2.17E-07,1.21E-06
ACKR3,6,-0.10692,-2.339,0.45065,0.93918,0.019335,0.033056,-0.066071,-1.3508,0.54444,0.94864,0.17675,0.2481,-0.06621,-1.4386,0.56269,0.94547,0.15026,0.20283,0.10794,2.3706,0.71125,0.9625,0.01776,0.03327
LGALSL,6,-0.10691,-2.0297,0.45065,0.93918,0.042385,0.066587,-0.26295,-4.2054,0.14022,0.79688,2.61E-05,0.0001016,0.29031,5.7829,0.25464,0.84869,7.34E-09,3.91E-08,0.25657,5.0322,0.23571,0.83583,4.85E-07,2.52E-06
SGOL2,6,-0.1069,-1.9543,0.45065,0.93918,0.05067,0.078107,-0.1103,-1.7651,0.41151,0.92291,0.07754,0.12285,0.10796,2.0123,0.78882,0.98025,0.044184,0.069135,-0.097123,-1.7192,0.46321,0.92821,0.085572,0.13089
SLC9B1,6,-0.1069,-2.0981,0.45065,0.93918,0.035899,0.057419,0.14866,2.7498,0.60912,0.96144,0.0059623,0.013181,-0.064907,-1.2606,0.56635,0.94712,0.20746,0.26904,-0.026778,-0.5179,0.71382,0.96254,0.60453,0.67453
RUNDC3A,6,-0.10685,-2.1847,0.45088,0.93918,0.02891,0.047394,0.1787,3.4685,0.50287,0.94621,0.0005234,0.0015123,-0.17469,-3.4764,0.27907,0.86074,0.00050821,0.0012064,-0.15889,-3.137,0.29778,0.87882,0.001707,0.0041385
TESPA1,6,-0.10681,-2.0905,0.45097,0.93918,0.036572,0.058389,0.030066,0.54011,0.90612,0.99108,0.58912,0.66814,0.17975,3.6142,0.53711,0.93866,0.00030127,0.00074296,0.34427,7.0209,0.10144,0.70338,2.20E-12,2.94E-11
ZNF497,6,-0.10678,-1.9478,0.45102,0.93918,0.051438,0.079117,-0.068397,-1.2306,0.53738,0.9475,0.21848,0.29661,0.17406,3.5787,0.55595,0.94389,0.00034525,0.00084294,-0.013679,-0.27053,0.76837,0.97082,0.78675,0.83328
PEX10,6,-0.10676,-2.0754,0.45107,0.93918,0.037945,0.060379,-0.20563,-3.4902,0.21086,0.84171,0.00048258,0.0014063,-0.1069,-2.0413,0.43851,0.91579,0.041223,0.064998,-0.18613,-3.4665,0.24181,0.83956,0.00052733,0.0014369
SLC10A6,6,-0.10675,-2.0901,0.45107,0.93918,0.036606,0.058425,0.028684,0.51495,0.90021,0.99102,0.60659,0.68372,0.19737,3.9816,0.48357,0.92982,6.85E-05,0.00019071,0.20809,4.1645,0.35847,0.89881,3.12E-05,0.00011188
UPB1,6,-0.10673,-2.1611,0.45116,0.93918,0.030686,0.049978,0.077011,1.4591,0.89613,0.99044,0.14453,0.20918,-0.13814,-2.7409,0.35916,0.88699,0.0061275,0.011664,0.020529,0.41296,0.90933,0.98998,0.67964,0.74175
NPPA,6,-0.10655,-1.9379,0.45143,0.93918,0.05264,0.080692,0.058531,0.96234,0.97451,0.99737,0.33588,0.42504,0.29747,5.719,0.24167,0.84116,1.07E-08,5.59E-08,0.36577,7.0366,0.081137,0.67403,1.97E-12,2.65E-11
AGTRAP,6,-0.10653,-2.2019,0.45143,0.93918,0.027674,0.045587,0.21227,4.2011,0.39555,0.91711,2.66E-05,0.00010333,0.20237,4.2896,0.46867,0.92481,1.79E-05,5.52E-05,0.13886,2.8973,0.58735,0.94863,0.0037643,0.008401
DENND5B,6,-0.10653,-2.1375,0.45143,0.93918,0.03256,0.05267,0.062746,1.0912,0.95764,0.99572,0.27517,0.35938,-0.035266,-0.70334,0.66628,0.96617,0.48184,0.55434,-0.050397,-0.99212,0.6209,0.95395,0.32114,0.40325
PSMG1,6,-0.10648,-2.11,0.45148,0.93918,0.034862,0.055933,-0.39358,-6.4187,0.052487,0.66187,1.37E-10,1.49E-09,-0.26371,-4.9793,0.14582,0.77813,6.38E-07,2.51E-06,-0.21368,-4.0232,0.19551,0.80624,5.74E-05,0.00019469
CRYZ,6,-0.10645,-2.117,0.45157,0.93918,0.034257,0.055092,0.34546,6.6857,0.12702,0.78483,2.30E-11,2.88E-10,0.39394,8.2868,0.1118,0.73933,1.16E-16,1.78E-15,0.053817,1.0678,0.94568,0.99456,0.2856,0.36512
FIGN,6,-0.10645,-2.3004,0.45157,0.93918,0.021428,0.036224,0.1226,2.5312,0.70928,0.97174,0.011368,0.023216,-0.11004,-2.3488,0.42993,0.91104,0.018834,0.03227,-0.1683,-3.5407,0.27738,0.86266,0.00039905,0.0011175
GLRA1,6,-0.10643,-2.11,0.45157,0.93918,0.034855,0.055925,0.089471,1.6421,0.84456,0.98704,0.10056,0.15369,0.18808,3.8373,0.51254,0.93405,0.00012441,0.00033121,0.065412,1.2964,0.89383,0.98998,0.19485,0.26555
UNC5C,6,-0.1064,-2.1034,0.45162,0.93918,0.035433,0.056765,0.11415,2.3028,0.74265,0.9759,0.021289,0.040227,-0.20393,-4.2244,0.22865,0.83481,2.40E-05,7.23E-05,-0.3316,-6.6803,0.075361,0.66331,2.39E-11,2.69E-10
ATAD2,6,-0.10638,-1.5379,0.45166,0.93919,0.12409,0.17199,-0.30048,-3.2619,0.10731,0.76105,0.0011068,0.0029462,-0.19177,-2.6014,0.24813,0.84338,0.009285,0.017001,-0.14823,-1.9966,0.32193,0.88685,0.045864,0.076214
EID2,6,-0.10613,-1.9586,0.4524,0.93941,0.050163,0.077424,0.14208,2.4313,0.63369,0.96597,0.015046,0.029659,0.033091,0.61408,0.9212,0.99078,0.53916,0.60945,-0.0047567,-0.086552,0.80477,0.97696,0.93103,0.94922
DDX5,6,-0.1061,-2.0206,0.4524,0.93941,0.04332,0.067905,-0.0016956,-0.029037,0.77749,0.98053,0.97684,0.98373,-0.28071,-5.0544,0.12812,0.7613,4.32E-07,1.75E-06,-0.65236,-10.589,0.012789,0.59095,3.34E-26,2.87E-24
TRIM24,6,-0.10606,-2.1391,0.45253,0.93941,0.032429,0.052476,0.091185,1.7152,0.83759,0.98687,0.086303,0.13499,-0.18247,-3.5739,0.265,0.85401,0.00035173,0.00085769,-0.25619,-4.8993,0.13885,0.76182,9.62E-07,4.72E-06
MNAT1,6,-0.10605,-2.1366,0.45253,0.93941,0.032627,0.05276,-0.0014281,-0.026219,0.77855,0.98053,0.97908,0.98523,-0.025334,-0.50807,0.70227,0.97085,0.6114,0.67626,0.034454,0.69044,0.96851,0.9955,0.48992,0.57094
TMED4,6,-0.10604,-2.2448,0.45258,0.93941,0.024784,0.041237,0.059686,1.1852,0.97007,0.99671,0.23594,0.31571,-0.37488,-7.5253,0.064039,0.68395,5.26E-14,5.77E-13,-0.22968,-4.6684,0.17158,0.79122,3.04E-06,1.35E-05
LIN52,6,-0.10599,-2.0134,0.45276,0.93941,0.044075,0.068949,-0.38131,-5.9588,0.058263,0.68458,2.54E-09,2.21E-08,-0.14479,-2.6775,0.34325,0.88408,0.0074167,0.01387,-0.1015,-1.8693,0.44744,0.92232,0.061576,0.098452
NKAIN3,6,-0.10596,-2.1112,0.45281,0.93941,0.034751,0.055787,-0.15689,-2.7575,0.29718,0.88084,0.0058238,0.012909,-0.24156,-4.6183,0.1714,0.79529,3.87E-06,1.34E-05,-0.32278,-6.0045,0.080816,0.67341,1.92E-09,1.56E-08
KIF1A,6,-0.10594,-2.0689,0.45285,0.93941,0.038554,0.06119,-0.09757,-1.7265,0.44786,0.93112,0.084253,0.13211,-0.29064,-5.4259,0.11781,0.74891,5.77E-08,2.69E-07,0.029761,0.57796,0.94802,0.99485,0.56329,0.63825
GPD1,6,-0.10591,-2.1552,0.45295,0.93941,0.031148,0.050664,-0.073076,-1.3394,0.52221,0.94701,0.18044,0.25253,-0.0058824,-0.11953,0.77314,0.97974,0.90486,0.92632,-0.10933,-2.1627,0.42439,0.91736,0.030568,0.053535
MYOM2,6,-0.10591,-2.2006,0.4529,0.93941,0.027761,0.045707,-0.019779,-0.37699,0.70658,0.9717,0.70618,0.77065,-0.1531,-2.8952,0.32381,0.8739,0.0037887,0.0075322,0.15832,3.3291,0.51744,0.93801,0.00087137,0.0022619
TSR3,6,-0.10588,-2.1853,0.45304,0.93941,0.028863,0.047328,-0.0041465,-0.079548,0.76819,0.97832,0.9366,0.95422,-0.44833,-8.6816,0.038872,0.63905,3.90E-18,7.13E-17,-0.25847,-5.1029,0.13665,0.75666,3.34E-07,1.79E-06
ANKRD16,6,-0.10586,-2.0808,0.45304,0.93941,0.037452,0.059672,-0.091154,-1.7433,0.46716,0.93633,0.08129,0.12799,-0.20304,-4.1314,0.22993,0.83551,3.61E-05,0.0001055,0.11816,2.4866,0.67041,0.95721,0.012898,0.025053
OPRD1,6,-0.10583,-1.9241,0.45313,0.93941,0.054346,0.082988,0.33676,5.9271,0.13734,0.7924,3.08E-09,2.63E-08,0.27976,5.335,0.27587,0.85924,9.56E-08,4.32E-07,0.019035,0.33262,0.9036,0.98998,0.73942,0.79351
NBR1,6,-0.1058,-1.996,0.45327,0.93941,0.045939,0.071507,-0.096988,-1.5909,0.44928,0.93112,0.11164,0.16803,-0.32133,-5.6505,0.093239,0.72228,1.60E-08,8.17E-08,-0.094935,-1.7315,0.46991,0.93021,0.083366,0.12794
SLAMF1,6,-0.1058,-2.0759,0.45327,0.93941,0.0379,0.060315,0.024262,0.43469,0.88233,0.98918,0.66379,0.73416,0.14452,2.8999,0.65515,0.96513,0.0037324,0.007427,0.11582,2.2902,0.67875,0.95797,0.022011,0.040154
SP3,6,-0.10577,-1.9004,0.45336,0.93941,0.057386,0.087056,-0.21443,-3.5904,0.19867,0.83885,0.00033023,0.0010033,-0.053896,-1.0347,0.60105,0.95341,0.30081,0.3715,-0.19355,-3.5796,0.22934,0.83314,0.00034414,0.00097867
ZNF296,6,-0.10576,-2.0242,0.4534,0.93941,0.042951,0.067379,-0.32905,-5.2491,0.086317,0.73013,1.53E-07,9.46E-07,-0.18551,-3.4284,0.25955,0.85206,0.0006071,0.0014203,-0.22322,-4.0422,0.18047,0.7962,5.30E-05,0.00018102
ZNF566,6,-0.10573,-2.0119,0.45345,0.93941,0.044236,0.069166,-0.10749,-1.845,0.42072,0.92723,0.065041,0.10546,0.07887,1.5158,0.89929,0.98964,0.12957,0.17815,0.11831,2.2664,0.66972,0.95697,0.023426,0.042423
CBFA2T3,6,-0.10569,-2.1355,0.45354,0.93941,0.032722,0.052869,0.11068,2.2809,0.75682,0.97705,0.022557,0.042336,0.08317,1.8106,0.8832,0.98739,0.070196,0.10407,0.028444,0.61172,0.94247,0.99439,0.54072,0.61755
ZNF17,6,-0.10564,-2.0566,0.45368,0.93941,0.039727,0.062873,-0.036319,-0.63698,0.64479,0.96597,0.52414,0.60888,0.17262,3.4524,0.56044,0.9442,0.00055566,0.0013089,0.24368,4.8783,0.26541,0.8563,1.07E-06,5.21E-06
SDR16C5,6,-0.10561,-2.1261,0.45372,0.93941,0.033497,0.053977,0.043735,0.80965,0.96333,0.99583,0.41814,0.50809,-0.12029,-2.3729,0.40234,0.90602,0.017647,0.03042,-0.0062237,-0.12379,0.79867,0.97602,0.90148,0.92606
APOLD1,6,-0.10559,-1.714,0.45372,0.93941,0.086536,0.12528,0.062819,0.92344,0.95732,0.99572,0.35578,0.44539,-0.11337,-1.7952,0.42031,0.91047,0.072614,0.10718,0.090423,1.4744,0.78538,0.9731,0.14038,0.2003
CYP2A13,6,-0.10558,-2.1168,0.45377,0.93941,0.03428,0.055125,-0.12018,-2.1834,0.38446,0.91282,0.029008,0.052503,-0.02899,-0.57859,0.68916,0.96782,0.56287,0.63163,-0.13079,-2.5486,0.36718,0.90416,0.010817,0.021447
MAD1L1,6,-0.10557,-2.1164,0.45386,0.93941,0.034315,0.055175,-0.12595,-2.2805,0.36956,0.90569,0.022578,0.042369,-0.14881,-2.9203,0.33413,0.87932,0.0034972,0.0070083,-0.17141,-3.3204,0.27009,0.85739,0.00089897,0.0023274
VCAM1,6,-0.10549,-1.9006,0.45414,0.93941,0.05735,0.087015,0.014426,0.23098,0.84286,0.98687,0.81733,0.86193,0.2157,4.0558,0.43044,0.91104,5.00E-05,0.00014248,0.09245,1.674,0.77736,0.97187,0.094122,0.14193
UBE2V2,6,-0.10543,-2.1615,0.45418,0.93941,0.030654,0.049934,0.3156,6.29,0.1686,0.81842,3.17E-10,3.24E-09,0.11736,2.4431,0.75416,0.97915,0.014563,0.025591,0.12821,2.6499,0.62998,0.95586,0.0080508,0.016525
HTR3E,6,-0.10542,-1.8116,0.45418,0.93941,0.070052,0.10387,-0.097495,-1.4935,0.44804,0.93112,0.1353,0.19787,-0.028148,-0.48108,0.69264,0.96859,0.63046,0.69364,0.012101,0.20598,0.87564,0.98771,0.83681,0.87381
CTBP2,6,-0.10541,-2.0231,0.45418,0.93941,0.043064,0.067547,0.35897,6.7254,0.1113,0.7685,1.75E-11,2.25E-10,-0.032458,-0.61932,0.67609,0.96708,0.53571,0.60633,-0.063732,-1.1969,0.57447,0.94641,0.23133,0.306
TCEANC,6,-0.10536,-2.1712,0.4545,0.93981,0.029912,0.048835,-0.22389,-4.0431,0.18611,0.83129,5.27E-05,0.00019254,0.10143,2.1185,0.81439,0.98263,0.034136,0.055014,-0.036697,-0.74456,0.67357,0.95739,0.45654,0.53919
PHF21A,6,-0.10531,-2.0159,0.4546,0.93982,0.043806,0.068572,0.086076,1.5293,0.86,0.98857,0.12619,0.1863,-0.15062,-2.8095,0.32986,0.87661,0.0049611,0.0096408,-0.27152,-4.898,0.12281,0.73938,9.68E-07,4.75E-06
ZFHX3,6,-0.10529,-1.9612,0.45464,0.93983,0.049859,0.077019,-0.084876,-1.3954,0.48503,0.94216,0.1629,0.23174,-0.32346,-5.6444,0.091909,0.72228,1.66E-08,8.45E-08,-0.37178,-6.3289,0.0562,0.62368,2.47E-10,2.35E-09
GMFG,6,-0.10504,-1.7855,0.45528,0.94062,0.074179,0.10927,0.018877,0.28593,0.86143,0.9887,0.77493,0.82791,-0.21441,-3.3351,0.21174,0.8295,0.00085274,0.0019378,-0.16155,-2.6069,0.29237,0.87588,0.009136,0.018471
PXN,6,-0.10495,-2.0519,0.45574,0.94076,0.040182,0.063497,0.12128,2.2119,0.71405,0.97236,0.026977,0.049317,-0.12533,-2.3969,0.38932,0.89999,0.016536,0.028698,-0.12865,-2.4308,0.37199,0.90481,0.015066,0.028745
ATP5F1,6,-0.10491,-2.001,0.45588,0.94076,0.045398,0.070775,-0.51086,-7.7968,0.026175,0.60893,6.35E-15,1.41E-13,-0.20719,-3.8041,0.2232,0.83384,0.00014233,0.0003743,-0.4172,-7.2452,0.041348,0.60339,4.32E-13,6.44E-12
C1orf68,6,-0.10483,-1.8794,0.45592,0.94076,0.060191,0.090757,-0.14115,-2.2214,0.33207,0.89302,0.026323,0.048279,0.5262,10.193,0.03768,0.63905,2.14E-24,7.55E-23,0.12166,2.2004,0.65698,0.95631,0.027778,0.049282
COL8A1,6,-0.10483,-1.9108,0.45597,0.94076,0.056036,0.085275,0.24008,4.1549,0.31973,0.88831,3.25E-05,0.00012392,0.13866,2.589,0.67518,0.96708,0.0096262,0.017574,0.16474,3.0553,0.49434,0.93389,0.0022485,0.0053126
CDH20,6,-0.10481,-2.038,0.45597,0.94076,0.041553,0.065449,0.33816,6.4082,0.13559,0.79197,1.47E-10,1.59E-09,-0.0029936,-0.058138,0.78208,0.97974,0.95364,0.96416,0.12387,2.4275,0.64795,0.95631,0.015202,0.028981
