Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
CCT4,6,-0.80858,-13.899,0.0067843,0.71429,6.39E-44,1.57E-41,-0.84336,-11.714,0.007747,0.56503,1.08E-31,2.09E-29,-0.66999,-11.595,0.012881,0.58135,4.37E-31,2.97E-29,-0.59075,-10.259,0.016365,0.59095,1.08E-24,7.80E-23
ESR1,6,-0.80756,-12.526,0.0068302,0.71429,5.38E-36,7.03E-34,-0.92751,-11.544,0.0065093,0.56503,7.94E-31,1.29E-28,-0.59446,-9.469,0.017328,0.59528,2.82E-21,7.18E-20,-0.33488,-5.5919,0.073482,0.66103,2.25E-08,1.50E-07
POLR3H,6,-0.8059,-11.187,0.0069218,0.71429,4.72E-29,3.04E-27,-0.59198,-9.0824,0.017419,0.57943,1.06E-19,4.51E-18,-0.35654,-6.3366,0.072473,0.69661,2.35E-10,1.57E-09,-0.37499,-6.5683,0.055054,0.62368,5.09E-11,5.44E-10
FSBP,6,-0.79568,-11.586,0.0070594,0.71429,4.83E-31,3.69E-29,-0.21614,-3.3034,0.19597,0.83885,0.00095529,0.0025871,-0.27536,-4.701,0.1344,0.76847,2.59E-06,9.22E-06,-0.054105,-0.95615,0.60784,0.95308,0.33899,0.42171
PPIAL4F,4,-0.79296,-12.425,0.007151,0.71429,1.90E-35,2.33E-33,-0.79683,-10.886,0.0084346,0.56503,1.35E-27,1.47E-25,-0.82695,-12.598,0.006876,0.58128,2.15E-36,2.47E-34,-0.71512,-10.999,0.0099014,0.59095,3.87E-28,3.96E-26
EIF2B2,6,-0.78897,-14.902,0.0071969,0.71429,3.21E-50,1.19E-47,-0.67599,-11.548,0.012148,0.56503,7.53E-31,1.23E-28,-0.64374,-12.235,0.013935,0.58349,2.03E-34,1.96E-32,-0.83666,-15.157,0.0064176,0.59095,6.85E-52,4.40E-49
FNDC3B,6,-0.77441,-13.411,0.0078386,0.71429,5.24E-41,1.04E-38,-0.34559,-5.7118,0.076232,0.71558,1.12E-08,8.61E-08,0.024236,0.48311,0.88613,0.98809,0.62902,0.69237,-0.31448,-5.8119,0.086454,0.68408,6.18E-09,4.57E-08
GINS3,6,-0.76939,-13.296,0.0079303,0.71429,2.45E-40,4.69E-38,-0.75812,-11.286,0.009168,0.56503,1.53E-29,2.23E-27,-0.25876,-4.8292,0.151,0.78142,1.37E-06,5.11E-06,-0.32568,-5.9378,0.078982,0.67002,2.89E-09,2.28E-08
ATP6V0C,6,-0.76744,-12.098,0.0079303,0.71429,1.08E-33,1.05E-31,-0.77013,-10.761,0.0089388,0.56503,5.29E-27,5.41E-25,-0.70375,-11.466,0.011047,0.58135,1.95E-30,1.25E-28,-0.71428,-11.424,0.0099473,0.59095,3.16E-30,4.04E-28
HIST2H4B,6,-0.7581,-13.224,0.008022,0.71429,6.39E-40,1.14E-37,-0.60975,-9.8585,0.016227,0.57188,6.30E-23,3.98E-21,-1.4578,-21.684,0.0016502,0.58128,2.93E-104,1.28E-100,-1.2873,-19.667,0.0024754,0.59095,4.11E-86,2.24E-82
EIF3L,6,-0.75462,-12.646,0.008022,0.71429,1.17E-36,1.64E-34,-0.20491,-3.3851,0.21178,0.84171,0.00071156,0.0019896,-0.2001,-3.6815,0.23475,0.83813,0.00023188,0.00058652,-0.46919,-8.0618,0.029934,0.59095,7.52E-16,1.70E-14
RUSC1,6,-0.75294,-12.168,0.0080678,0.71429,4.62E-34,4.84E-32,-0.47855,-7.0668,0.032271,0.62153,1.59E-12,2.39E-11,-0.021729,-0.40265,0.7141,0.97257,0.6872,0.74418,-0.089116,-1.6091,0.48746,0.93121,0.10759,0.15939
PCF11,6,-0.74666,-13.611,0.0082512,0.71429,3.44E-42,7.37E-40,-0.60284,-9.8529,0.016411,0.57188,6.66E-23,4.20E-21,-0.54328,-10.094,0.022874,0.61988,5.89E-24,2.00E-22,-0.41465,-7.8007,0.041852,0.60339,6.15E-15,1.22E-13
U2AF2,6,-0.73692,-13.037,0.0085721,0.71429,7.52E-39,1.26E-36,-0.43758,-7.9274,0.041118,0.6407,2.24E-15,5.34E-14,-0.62392,-12.023,0.015127,0.58775,2.71E-33,2.31E-31,-0.51889,-10.071,0.023058,0.59095,7.44E-24,4.93E-22
HNRNPA1,6,-0.73691,-10.831,0.0085721,0.71429,2.46E-27,1.29E-25,-0.2834,-3.9697,0.12102,0.78257,7.20E-05,0.0002546,-0.29884,-4.8137,0.11116,0.7382,1.48E-06,5.49E-06,-0.1577,-2.5908,0.30039,0.87983,0.0095746,0.019251
IMPDH2,6,-0.73419,-11.037,0.0087096,0.71429,2.53E-28,1.51E-26,-0.32545,-4.5975,0.08838,0.73197,4.28E-06,1.97E-05,-0.17834,-3.0252,0.27234,0.85618,0.0024848,0.0051148,-0.14164,-2.3861,0.33738,0.89277,0.017027,0.032049
GRHL2,6,-0.7332,-11.552,0.0088013,0.71429,7.23E-31,5.42E-29,-1.0311,-13.604,0.0049966,0.56503,3.77E-42,2.57E-39,-0.45116,-8.0535,0.038001,0.63905,8.05E-16,1.09E-14,-0.43799,-7.729,0.036626,0.60015,1.08E-14,2.06E-13
ADIPOR2,6,-0.72699,-12.332,0.009168,0.71429,6.13E-35,7.11E-33,-0.09966,-1.8893,0.44245,0.93112,0.058847,0.096872,0.22408,4.7745,0.40898,0.9068,1.80E-06,6.59E-06,-0.054109,-1.1057,0.60784,0.95308,0.26886,0.34734
RPL13,6,-0.72282,-9.8708,0.009443,0.71429,5.57E-23,1.85E-21,-0.63636,-7.4132,0.014073,0.57188,1.23E-13,2.22E-12,-1.1463,-13.317,0.003163,0.58128,1.84E-40,2.94E-38,-1.269,-13.838,0.002567,0.59095,1.51E-43,6.86E-41
